NORMAN_ID,NAME,SMILES,NEUTRAL_EXACT_MASS,FORMULA,StdInChI,CAS_RN,PUBCHEM_CID,InChIKey,CHEMSPIDER_ID,DTXSID,Preferable Ionization,MB_Records Positive Ionization,Adduct Positive Ionization,Ionisation type and collision energy Positive Ionization,Fragments Positive Ionization,Simplified_fragments_Positive,Institute Positive Ionization,MB_Records Negative Ionization,Adduct Negative Ionization,Ionisation type and collision energy Negative Ionization,Fragments Negative Ionization,Simplified_fragments_Negative,Institute Negative Ionization
stpQQR1,"1,2,3-Triazole|1H-1,2,3-Triazole|2H-triazole",N1C=CN=N1,69.0327,C2H3N3,"InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)",CAS_RN: 288-35-7,67516,QWENRTYMTSOGBR-UHFFFAOYSA-N,60839,DTXSID30870495,Positive,SM800003;EQ318501|EQ318502|EQ318503|EQ318504|EQ318505|EQ318506,[M+H]+;[M+H]+,HCD35;HCD15|HCD30|HCD45|HCD60|HCD75|HCD90,70.04;70.0399|70.0399|70.0399|70.0399|70.0399|70.0399,,CASMI_2016;Eawag,NA,NA,NA,NA,NA,NA
stpQQR2,1-Naphthylamine|1-Aminonaphthalene|naphthalen-1-amine,NC1=CC=CC2=CC=CC=C12,143.0735,C10H9N,"InChI=1S/C10H9N/c11-10-7-3-5-8-4-1-2-6-9(8)10/h1-7H,11H2",CAS_RN: 134-32-7,8640,RUFPHBVGCFYCNW-UHFFFAOYSA-N,8319,DTXSID7020920,Positive,SM800201,[M+H]+,HCD35,144.0807:143.0729:155.0603,143.0729,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR3,"2,3-Dihydroxybiphenyl|Biphenyl-2,3-diol|3-phenylbenzene-1,2-diol",OC1=CC=CC(=C1O)C1=CC=CC=C1,186.06808,C12H10O2,"InChI=1S/C12H10O2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8,13-14H",CAS_RN: 1133-63-7,254,YKOQAAJBYBTSBS-UHFFFAOYSA-N,249,DTXSID60150353,Negative,NA,NA,NA,NA,NA,NA,SM800553,[M-H]-,HCD35,185.0608:184.053:129.0707,185.0608;184.053;129.0707,CASMI_2016
stpQQR4,"2,4-Dibromphenol",OC1=C(Br)C=C(Br)C=C1,249.86289,C6H4Br2O,"InChI=1S/C6H4Br2O/c7-4-1-2-6(9)5(8)3-4/h1-3,9H",CAS_RN: 615-58-7,12005,FAXWFCTVSHEODL-UHFFFAOYSA-N,11510,DTXSID1052290,Negative,NA,NA,NA,NA,NA,NA,SM800653,[M-H]-,HCD35,248.8557:168.9295,248.8557;168.9295,CASMI_2016
stpQQR5,2-Aminoanthracene|2-Aminoanthracene|anthracen-2-amine,NC1=CC2=CC3=CC=CC=C3C=C2C=C1,193.08915,C14H11N,"InChI=1S/C14H11N/c15-14-6-5-12-7-10-3-1-2-4-11(10)8-13(12)9-14/h1-9H,15H2",CAS_RN: 613-13-8,11937,YCSBALJAGZKWFF-UHFFFAOYSA-N,11443,DTXSID2024458,Positive,SM800802,[M+H]+,HCD35,194.0963:193.0887:177.0698,193.0887;177.0698,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR6,2-Aminobenzoic acid|anthranilic acid|2-azaniumylbenzoate,NC1=C(C=CC=C1)C(O)=O,137.04768,C7H7NO2,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",CAS_RN: 118-92-3,227,RWZYAGGXGHYGMB-UHFFFAOYSA-N,222,DTXSID8020094,Positive,SM800901;SM884401,[M+H]+;[M+H]+,HCD35;HCD35,120.0444:92.0495:138.055;120.0444:92.0495:138.0549,120.0444;92.0495,CASMI_2016;CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR7,2-Aminobiphenyl|2-phenylaniline,NC1=C(C=CC=C1)C1=CC=CC=C1,169.08915,C12H11N,"InChI=1S/C12H11N/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,13H2",CAS_RN: 90-41-5,7015,TWBPWBPGNQWFSJ-UHFFFAOYSA-N,6748,DTXSID3030189,Positive,SM801001,[M+H]+,HCD35,170.0963:153.0698:143.0855,153.0698;143.0855,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR8,2-Aminophenol,NC1=C(O)C=CC=C1,109.05276,C6H7NO,"InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2",CAS_RN: 95-55-6,5801,CDAWCLOXVUBKRW-UHFFFAOYSA-N,5596,DTXSID8024498,Positive,SM801101,[M+H]+,HCD35,110.06:92.0494:65.0387,92.0494;65.0387,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR9,2-Aminopyridine|2-AMINOPYRIDINE|pyridin-2-amine,NC1=NC=CC=C1,94.0531,C5H6N2,"InChI=1S/C5H6N2/c6-5-3-1-2-4-7-5/h1-4H,(H2,6,7)",CAS_RN: 504-29-0,10439,ICSNLGPSRYBMBD-UHFFFAOYSA-N,10008,DTXSID0024505,Positive,SM801201,[M+H]+,HCD35,95.0603:78.0338:67.0543,78.0338;67.0543,CASMI_2016,NA,NA,NA,NA,NA,NA
stpQQR10,2`-Methylacetanilide|o-Acetotoluidide|N-(2-methylphenyl)acetamide,CC(=O)NC1=C(C)C=CC=C1,149.08406,C9H11NO,"InChI=1S/C9H11NO/c1-7-5-3-4-6-9(7)10-8(2)11/h3-6H,1-2H3,(H,10,11)",CAS_RN: 120-66-1,8443,BPEXTIMJLDWDTL-UHFFFAOYSA-N,10298354,DTXSID1024413,Positive,SM801601,[M+H]+,HCD35,108.0807:150.0913:93.0573,108.0807;93.0573,CASMI_2016,NA,NA,NA,NA,NA,NA
